['G', 'O', 'Y'], ['B', 'O', 'Y'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['R', 'W', 'B'], ['O', 'G', 'W'], ['R', 'Y', 'B'], ['O', 'B', 'W']|['L', 'B']|['B inverse', 'L inverse']|
['G', 'O', 'Y'], ['B', 'O', 'Y'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['O', 'B', 'W'], ['R', 'Y', 'B'], ['O', 'G', 'W'], ['R', 'W', 'B']|['L', 'B inverse']|['B', 'L inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'L']|['L inverse', 'L']|
['Y', 'O', 'B'], ['W', 'O', 'B'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['Y', 'O', 'G'], ['W', 'O', 'G'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'L inverse']|['L', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['G', 'R', 'W'], ['B', 'R', 'W']|['L inverse', 'R']|['R inverse', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['B', 'R', 'W'], ['G', 'R', 'W'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['B', 'R', 'Y'], ['G', 'R', 'Y']|['L inverse', 'R inverse']|['R', 'L']|
['B', 'Y', 'O'], ['G', 'O', 'W'], ['B', 'W', 'O'], ['Y', 'R', 'G'], ['W', 'B', 'R'], ['G', 'O', 'Y'], ['W', 'G', 'R'], ['Y', 'R', 'B']|['L inverse', 'U']|['U inverse', 'L']|
['W', 'G', 'R'], ['G', 'O', 'W'], ['W', 'B', 'R'], ['Y', 'R', 'G'], ['B', 'W', 'O'], ['G', 'O', 'Y'], ['B', 'Y', 'O'], ['Y', 'R', 'B']|['L inverse', 'U inverse']|['U', 'L']|
['B', 'O', 'W'], ['G', 'Y', 'O'], ['W', 'R', 'G'], ['G', 'W', 'O'], ['B', 'O', 'Y'], ['Y', 'B', 'R'], ['W', 'R', 'B'], ['Y', 'G', 'R']|['L inverse', 'D']|['D inverse', 'L']|
['B', 'O', 'W'], ['Y', 'G', 'R'], ['W', 'R', 'G'], ['Y', 'B', 'R'], ['B', 'O', 'Y'], ['G', 'W', 'O'], ['W', 'R', 'B'], ['G', 'Y', 'O']|['L inverse', 'D inverse']|['D', 'L']|
['R', 'W', 'G'], ['O', 'B', 'W'], ['R', 'Y', 'G'], ['O', 'G', 'W'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'F']|['F inverse', 'L']|
['O', 'G', 'W'], ['R', 'Y', 'G'], ['O', 'B', 'W'], ['R', 'W', 'G'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'F inverse']|['F', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['R', 'W', 'B'], ['O', 'B', 'Y'], ['R', 'Y', 'B'], ['O', 'G', 'Y']|['L inverse', 'B']|['B inverse', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['O', 'G', 'Y'], ['R', 'Y', 'B'], ['O', 'B', 'Y'], ['R', 'W', 'B']|['L inverse', 'B inverse']|['B', 'L']|
['G', 'O', 'Y'], ['B', 'O', 'Y'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['G', 'O', 'W'], ['B', 'O', 'W'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'L']|['L inverse', 'R inverse']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'L inverse']|['L', 'R inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['Y', 'R', 'B'], ['W', 'R', 'B'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['Y', 'R', 'G'], ['W', 'R', 'G']|['R', 'R']|['R inverse', 'R inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['R', 'R inverse']|['R', 'R inverse']|
['W', 'B', 'O'], ['Y', 'O', 'G'], ['W', 'G', 'O'], ['B', 'R', 'Y'], ['G', 'W', 'R'], ['Y', 'O', 'B'], ['G', 'Y', 'R'], ['B', 'R', 'W']|['R', 'U']|['U inverse', 'R inverse']|
['G', 'Y', 'R'], ['Y', 'O', 'G'], ['G', 'W', 'R'], ['B', 'R', 'Y'], ['W', 'G', 'O'], ['Y', 'O', 'B'], ['W', 'B', 'O'], ['B', 'R', 'W']|['R', 'U inverse']|['U', 'R inverse']|
['W', 'O', 'G'], ['Y', 'B', 'O'], ['G', 'R', 'Y'], ['Y', 'G', 'O'], ['W', 'O', 'B'], ['B', 'W', 'R'], ['G', 'R', 'W'], ['B', 'Y', 'R']|['R', 'D']|['D inverse', 'R inverse']|
['W', 'O', 'G'], ['B', 'Y', 'R'], ['G', 'R', 'Y'], ['B', 'W', 'R'], ['W', 'O', 'B'], ['Y', 'G', 'O'], ['G', 'R', 'W'], ['Y', 'B', 'O']|['R', 'D inverse']|['D', 'R inverse']|
['R', 'G', 'Y'], ['O', 'W', 'G'], ['R', 'B', 'Y'], ['O', 'Y', 'G'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'F']|['F inverse', 'R inverse']|
['O', 'Y', 'G'], ['R', 'B', 'Y'], ['O', 'W', 'G'], ['R', 'G', 'Y'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'F inverse']|['F', 'R inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['R', 'G', 'W'], ['O', 'W', 'B'], ['R', 'B', 'W'], ['O', 'Y', 'B']|['R', 'B']|['B inverse', 'R inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['O', 'Y', 'B'], ['R', 'B', 'W'], ['O', 'W', 'B'], ['R', 'G', 'W']|['R', 'B inverse']|['B', 'R inverse']|
